date,CIG,CIG_category
20160101000000,-99999,99999
20160101010000,-99999,99999
20160101020000,-99999,99999
20160101030000,-99999,99999
20160101040000,-99999,99999
20160101050000,-99999,99999
20160101060000,-99999,99999
20160101070000,-99999,99999
20160101080000,-99999,99999
20160101090000,-99999,99999
20160101100000,-99999,99999
20160101110000,-99999,99999
20160101120000,-99999,99999
20160101210000,6000,6
20160101220000,6000,6
20160101230000,12000,6
20160102000000,12000,6
20160102010000,12000,6
20160102020000,4000,6
20160102030000,7000,6
20160102040000,6000,6
20160102050000,5000,6
20160102060000,5000,6
20160102070000,8000,6
20160102080000,8000,6
20160102090000,5000,6
20160102100000,5000,6
20160102110000,4500,6
20160102120000,3500,5
20160102210000,1000,4
20160102220000,1000,4
20160102230000,900,3
20160103000000,700,3
20160103010000,1500,4
20160103020000,1500,4
20160103030000,800,3
20160103040000,-99999,99999
20160103050000,-99999,99999
20160103060000,4000,6
20160103070000,-99999,99999
20160103080000,10000,6
20160103090000,2000,5
20160103100000,5000,6
20160103110000,3000,5
20160103120000,4000,6
20160103210000,-99999,99999
20160103220000,-9999,1
20160103230000,-9999,1
20160104000000,-9999,1
20160104010000,-9999,1
20160104020000,-9999,1
20160104030000,-9999,1
20160104040000,-9999,1
20160104050000,-9999,1
20160104060000,-9999,1
20160104070000,-99999,99999
20160104080000,-99999,99999
20160104090000,-99999,99999
20160104100000,-99999,99999
20160104110000,-99999,99999
20160104120000,-99999,99999
20160104210000,4000,6
20160104220000,6000,6
20160104230000,4500,6
20160105000000,3500,5
20160105010000,3500,5
20160105020000,6000,6
20160105030000,-9999,1
20160105040000,6000,6
20160105050000,6000,6
20160105060000,3500,5
20160105070000,3500,5
20160105080000,3500,5
20160105090000,3500,5
20160105100000,3500,5
20160105110000,1000,4
20160105120000,2500,5
20160105210000,4000,6
20160105220000,4000,6
20160105230000,4000,6
20160106000000,4000,6
20160106010000,4000,6
20160106020000,4000,6
20160106030000,4000,6
20160106040000,3000,5
20160106050000,4000,6
20160106060000,4000,6
20160106070000,4000,6
20160106080000,5000,6
20160106090000,12000,6
20160106100000,12000,6
20160106110000,15000,6
20160106120000,15000,6
20160106210000,5000,6
20160106220000,-99999,99999
20160106230000,-99999,99999
20160107000000,-99999,99999
20160107010000,-99999,99999
20160107020000,4000,6
20160107030000,3000,5
20160107040000,4000,6
20160107050000,3500,5
20160107060000,3500,5
20160107070000,4000,6
20160107080000,4000,6
20160107090000,4000,6
20160107100000,4000,6
20160107110000,4000,6
20160107120000,3500,5
20160107210000,5000,6
20160107220000,5000,6
20160107230000,5000,6
20160108000000,3500,5
20160108010000,-9999,1
20160108020000,4500,6
20160108030000,2500,5
20160108040000,3000,5
20160108050000,3500,5
20160108060000,3000,5
20160108070000,-99999,99999
20160108080000,4000,6
20160108090000,4000,6
20160108100000,4000,6
20160108110000,-99999,99999
20160108120000,-99999,99999
20160108210000,4500,6
20160108220000,4500,6
20160108230000,4500,6
20160109000000,4500,6
20160109010000,4500,6
20160109020000,5000,6
20160109030000,5000,6
20160109040000,5000,6
20160109050000,5000,6
20160109060000,-99999,99999
20160109070000,4500,6
20160109080000,-99999,99999
20160109090000,-99999,99999
20160109100000,-99999,99999
20160109110000,-99999,99999
20160109120000,-99999,99999
20160109210000,4000,6
20160109220000,4000,6
20160109230000,11000,6
20160110000000,12000,6
20160110010000,-9999,1
20160110020000,11000,6
20160110030000,11000,6
20160110040000,18000,6
20160110050000,10000,6
