CIG_category,Medium cloud cover,temp,Temperature,cloud_count,u-co600,u-co500,u-co700,u-co400,Temp1000,Temp975,Temp950,Temp925,Temp900,Temp800,Temp700,u-co300,Temp850,Geop500,Geop600,u-co100,Temp600,Geop400,u-co250,u-co150,Geop300,u-co200,u-co800,Geop700,Geop250,Temp500
5.0,51.5381,1.0,275.7383,3.0,43.5541,56.2067,26.8588,71.2466,275.60900000000004,273.7256,271.6991,269.72,267.7812,260.8419,254.5066,85.5196,264.0552,5409.2876,4055.2373,52.2042,254.7611,7025.2305,85.7893,90.4469,9069.8633,86.4525,18.2707,2908.5,10327.1807,250.4033
5.0,37.793,0.0,275.6013,3.0,26.40031030215323,37.891631041653454,17.89653341472149,52.23777995631099,280.6901926577557,279.7285333740292,277.95872379723005,276.1846571722999,274.6974030981073,271.81886139162816,268.50486168294447,66.49039257504046,272.7905034588184,5613.773947380483,4230.232020851225,,262.5490358898533,7257.359949307633,,,9299.462928853929,,11.794556268025188,3031.6574916541576,,255.75063422741368
6.0,16.8457,0.0,272.4701,3.0,28.6807,41.1447,19.7937,56.379,272.9673,272.9748,271.404,269.8647,268.4545,264.8774,264.416,74.5263,265.4681,5529.4971,4174.3079,61.3137,257.9436,7135.2246,78.0232,76.4873,9129.8105,82.2641,15.1971,2994.8792,10354.4023,250.2915
6.0,8.6426,0.0,272.6317,3.0,26.364918253384534,37.83024219516665,17.876118493266407,52.157286951318376,280.69834982743487,279.73451480618684,277.9654959503096,276.1922596464865,274.7043973471736,271.82047294132644,268.5069549647742,66.4061799608171,272.7942034462467,5613.868415616453,4230.3501727525145,,262.5496641216596,7257.355653091798,,,9299.225788775833,,11.766998651903124,3031.764100134373,,255.74063461925843
6.0,9.2773,0.0,272.9752,2.0,26.362558783963323,37.82614960614592,17.87475749850273,52.15192075073719,280.69889363879344,279.7349135683617,277.9659474272048,276.1927664780524,274.70486363046797,271.82058037797105,268.50709451688454,66.40056578628719,272.79445011209464,5613.874713497236,4230.358049545437,,262.5497060037742,7257.355366677395,,,9299.209979437292,,11.765161477494983,3031.7712073661387,,255.73996797855946
6.0,23.9746,1.0,275.1096,2.0,32.5958,42.8094,23.6881,56.9917,274.7322,273.1303,271.8848,270.7489,269.3756,265.19599999999997,263.9614,74.5454,266.4718,5536.8872,4184.5342,60.5487,257.2044,7139.2109,75.7071,74.8556,9128.6162,79.415,17.6564,3008.1973,10354.2207,249.7922
6.0,34.5703,3.0,276.8397,2.0,26.178520133718852,37.50692760385572,17.76859990786761,51.73335712775588,280.74131092079915,279.7660170160234,278.0011626236374,276.2322993435664,274.74123372521717,271.8289604364545,268.51797958253877,65.9626601934433,272.8136900466052,5614.36594832316,4230.972439436242,,262.55297280917875,7257.3330263549,,,9297.976851016285,,11.621861872263253,3032.325571458787,,255.68797001591884
5.0,29.1016,3.0,277.9023,2.0,26.176160664297644,37.50283501390368,17.767238913103938,51.727990927174694,280.74185473192483,279.76641577819834,278.0016141005326,276.2328061752487,274.7417000085116,271.8290678731282,268.51811913470743,65.95704601891339,272.8139367123949,5614.372246205807,4230.980316229165,,262.55301469129336,7257.332739940495,,,9297.961041677745,,11.620024697389455,3032.332678692416,,255.6873033754528
5.0,35.8643,4.0,278.7499,3.0,34.7944,42.2483,26.9471,55.4454,278.2015,276.0633,274.0039,271.9284,270.0762,264.3013,262.9985,74.5828,267.017,5527.3916,4169.8987,56.3627,258.0212,7125.0737,73.5332,71.9519,9108.4883,77.0628,17.5107,2996.3735,10334.1016,249.9501
5.0,37.6953,4.0,279.3613,3.0,26.171441724523905,37.494649833999574,17.764516923576593,51.71725852601229,280.74294235464185,279.76721330254804,278.0025170542067,276.23381983849686,274.742632574984,271.82928274641745,268.5183982389281,65.94581766985357,272.81443004403263,5614.384841971098,4230.996069816873,,262.5530984555371,7257.332167111685,,,9297.929423000664,,11.616350348573176,3032.3468931559473,,255.68597009428777
5.0,30.6396,4.0,279.9574,3.0,26.16908225417137,37.49055724497885,17.76315592881292,51.71189232543111,280.7434861660004,279.7676120647229,278.00296853110194,276.23432667006267,274.74309885827824,271.8293901830621,268.5185377910384,65.94020349532366,272.8146767098806,5614.391139851884,4231.003946609795,,262.55314033766626,7257.331880697281,,,9297.913613662124,,11.614513174165037,3032.354000387713,,255.6853034538217
6.0,33.3008,4.0,280.1396,3.0,34.6404,41.9999,26.2185,52.5508,279.7645,277.652,275.5767,273.4629,271.4066,264.6499,262.3899,70.1448,267.6521,5525.2607,4168.0532,53.9412,258.7524,7122.1851,70.5606,66.7897,9101.2881,74.2969,18.6604,2991.4148,10325.6582,249.5381
5.0,30.8594,3.0,279.3177,3.0,26.16436331439764,37.48237206507474,17.760433939285573,51.70115992613136,280.74457378848456,279.7684095889563,278.00387148489244,276.2353403333109,274.744031424867,271.82960505635134,268.5188168953173,65.92897514626385,272.81517004151834,5614.403735617177,4231.019700197503,,262.55322410189547,7257.33130786859,,,9297.881994985044,,11.610838825348766,3032.3682148512453,,255.68397017265667
6.0,11.2793,2.0,277.347,2.0,26.15492543578148,37.46600170619786,17.754989960230887,51.6796951238066,280.7467490336858,279.7700046375394,278.00567739235703,276.23736765969085,274.74589655792806,271.83003480292973,268.51937510381686,65.90651845000684,272.8161567048519,5614.428927147761,4231.051207371056,,262.553391630383,7257.330162210972,,,9297.818757630885,,11.603490127716212,3032.396643780173,,255.68130361055958
