date,str,ceiling
20160101000000,-99999,-99999
20160101010000,-99999,-99999
20160101020000,-99999,-99999
20160101030000, FEW 20  ,-99999
20160101040000, FEW 20  ,-99999
20160101050000,-99999,-99999
20160101060000,-99999,-99999
20160101070000,-99999,-99999
20160101080000,-99999,-99999
20160101090000,-99999,-99999
20160101100000,-99999,-99999
20160101110000,-99999,-99999
20160101120000,-99999,-99999
20160101210000, FEW 35   BKN 60  ,6000
20160101220000, FEW 35   BKN 60  ,6000
20160101230000, FEW 35   SCT 60   BKN 120  ,12000
20160102000000, FEW 40   SCT 60   BKN 120  ,12000
20160102010000, FEW 30   SCT 60   BKN 120  ,12000
20160102020000, FEW 30   BKN 40  ,4000
20160102030000, FEW 30   SCT 40   BKN 70  ,7000
20160102040000, FEW 25   SCT 35   BKN 60  ,6000
20160102050000, FEW 20   SCT 30   BKN 50  ,5000
20160102060000, FEW 20   SCT 30   BKN 50  ,5000
20160102070000, FEW 25   SCT 60   BKN 80  ,8000
20160102080000, FEW 25   SCT 50   BKN 80  ,8000
20160102090000, FEW 25   SCT 40   BKN 50  ,5000
20160102100000, FEW 25   SCT 40   BKN 50  ,5000
20160102110000, FEW 25   SCT 35   BKN 45  ,4500
20160102120000, FEW 20   SCT 25   BKN 35  ,3500
20160102210000, FEW 8   BKN 10  ,1000
20160102220000, FEW 6   SCT 8   BKN 10  ,1000
20160102230000, FEW 6   SCT 7   BKN 9  ,900
20160103000000, FEW 5   SCT 6   BKN 7  ,700
20160103010000, FEW 2   SCT 8   BKN 15  ,1500
20160103020000, FEW 2   SCT 8   BKN 15  ,1500
20160103030000, FEW 6   BKN 8   BKN 10  ,800
20160103040000, FEW 6   SCT 10  ,-99999
20160103050000, FEW 8   SCT 15  ,-99999
20160103060000, FEW 10   SCT 20   BKN 40  ,4000
20160103070000, FEW 10   SCT 15  ,-99999
20160103080000, FEW 10   SCT 15   BKN 100  ,10000
20160103090000, FEW 10   SCT 15   BKN 20  ,2000
20160103100000, FEW 10   BKN 50  ,5000
20160103110000, FEW 10   BKN 30  ,3000
20160103120000, FEW 10   BKN 40  ,4000
20160103210000,-99999,-99999
20160103220000, FEW 5   BKN -9999  ,-9999
20160103230000, FEW 5   BKN -9999  ,-9999
20160104000000, FEW 5   BKN -9999  ,-9999
20160104010000, FEW 20   BKN -9999  ,-9999
20160104020000, FEW 25   BKN -9999  ,-9999
20160104030000, FEW 25   BKN -9999  ,-9999
20160104040000, FEW 30   BKN -9999  ,-9999
20160104050000, FEW 30   BKN -9999  ,-9999
20160104060000, FEW 30   BKN -9999  ,-9999
20160104070000,-99999,-99999
20160104080000,-99999,-99999
20160104090000,-99999,-99999
20160104100000,-99999,-99999
20160104110000,-99999,-99999
20160104120000,-99999,-99999
20160104210000, FEW 30   BKN 40   BKN 120  ,4000
20160104220000, FEW 40   BKN 60   BKN 100  ,6000
20160104230000, FEW 30   BKN 45   BKN 100  ,4500
20160105000000, FEW 25   BKN 35   BKN 100  ,3500
20160105010000, FEW 25   BKN 35   BKN 80  ,3500
20160105020000, FEW 25   SCT 30   BKN 60  ,6000
20160105030000, FEW 30   SCT 90   BKN -9999  ,-9999
20160105040000, FEW 30   SCT 40   BKN 60  ,6000
20160105050000, FEW 30   SCT 35   BKN 60  ,6000
20160105060000, FEW 30   BKN 35   BKN 50  ,3500
20160105070000, FEW 30   BKN 35  ,3500
20160105080000, FEW 20   BKN 35  ,3500
