date,CIG,CIG_category
20140101000000,3500,5
20140101010000,3500,5
20140101020000,3500,5
20140101030000,5000,9999
20140101040000,3500,5
20140101050000,5000,9999
20140101060000,-99999,9999
20140101070000,-99999,9999
20140101080000,-99999,9999
20140101090000,-99999,9999
20140101100000,-99999,9999
20140101110000,-99999,9999
20140101120000,-99999,9999
20140101210000,-99999,9999
20140101220000,-99999,9999
20140101230000,-99999,9999
20140102000000,-99999,9999
20140102010000,-99999,9999
20140102020000,-99999,9999
20140102030000,-99999,9999
20140102040000,-99999,9999
20140102050000,-99999,9999
20140102060000,-99999,9999
20140102070000,-99999,9999
20140102080000,-99999,9999
20140102090000,-99999,9999
20140102100000,-99999,9999
20140102110000,-99999,9999
20140102120000,-99999,9999
20140102210000,-99999,9999
20140102220000,-99999,9999
20140102230000,-99999,9999
20140103000000,12000,9999
20140103010000,-9999,9999
20140103020000,12000,9999
20140103030000,7000,9999
20140103040000,7000,9999
20140103050000,5000,9999
20140103060000,7000,9999
20140103070000,7000,9999
20140103080000,10000,9999
20140103090000,7000,9999
20140103100000,10000,9999
20140103110000,10000,9999
20140103120000,10000,9999
20140103210000,15000,9999
20140103220000,15000,9999
20140103230000,-99999,9999
20140104000000,-99999,9999
20140104010000,-99999,9999
20140104020000,-99999,9999
20140104030000,-99999,9999
20140104040000,-99999,9999
20140104050000,-99999,9999
20140104060000,-9999,9999
20140104070000,-9999,9999
20140104080000,-9999,9999
20140104090000,-9999,9999
20140104100000,-99999,9999
20140104110000,-99999,9999
20140104120000,-99999,9999
20140104210000,-99999,9999
20140104220000,-99999,9999
20140104230000,-99999,9999
20140105000000,-99999,9999
20140105010000,-99999,9999
20140105020000,-99999,9999
20140105030000,-99999,9999
20140105040000,5000,9999
20140105050000,-99999,9999
20140105060000,-99999,9999
20140105070000,6000,9999
20140105080000,6000,9999
20140105090000,5000,9999
20140105100000,-99999,9999
20140105110000,-99999,9999
20140105120000,-99999,9999
20140105210000,-99999,9999
20140105220000,-99999,9999
20140105230000,-99999,9999
20140106000000,-99999,9999
20140106010000,-99999,9999
20140106020000,-99999,9999
20140106030000,-9999,9999
20140106040000,-9999,9999
20140106050000,-9999,9999
20140106060000,-9999,9999
20140106070000,-9999,9999
20140106080000,-9999,9999
20140106090000,-99999,9999
20140106100000,-99999,9999
20140106110000,-99999,9999
