date,CIG,CIG_category
20170101000000,-99999,99999
20170101010000,-99999,99999
20170101020000,-99999,99999
20170101030000,-99999,99999
20170101040000,-99999,99999
20170101050000,-99999,99999
20170101060000,-99999,99999
20170101070000,-99999,99999
20170101080000,-99999,99999
20170101090000,-99999,99999
20170101100000,-99999,99999
20170101110000,-99999,99999
20170101120000,-99999,99999
20170101210000,8000,6
20170101220000,7000,6
20170101230000,6000,6
20170102000000,5000,6
20170102010000,-9999,1
20170102020000,-99999,99999
20170102030000,9000,6
20170102040000,-99999,99999
20170102050000,-99999,99999
20170102060000,-99999,99999
20170102070000,-99999,99999
20170102080000,-99999,99999
20170102090000,3500,5
20170102100000,-99999,99999
20170102110000,-99999,99999
20170102120000,-99999,99999
20170102210000,-99999,99999
20170102220000,-99999,99999
20170102230000,-99999,99999
20170103000000,-99999,99999
20170103010000,-99999,99999
20170103020000,-99999,99999
20170103030000,-99999,99999
20170103040000,-99999,99999
20170103050000,-99999,99999
20170103060000,-99999,99999
20170103070000,-99999,99999
20170103080000,-99999,99999
20170103090000,-99999,99999
20170103100000,-99999,99999
20170103110000,-99999,99999
20170103120000,-99999,99999
20170103210000,-99999,99999
20170103220000,-99999,99999
20170103230000,-99999,99999
20170104000000,-99999,99999
20170104010000,-99999,99999
20170104020000,-99999,99999
20170104030000,-99999,99999
20170104040000,-99999,99999
20170104050000,-99999,99999
20170104060000,-99999,99999
20170104070000,-99999,99999
20170104080000,-99999,99999
20170104090000,-99999,99999
20170104100000,-99999,99999
20170104110000,-99999,99999
20170104120000,-99999,99999
20170104210000,-99999,99999
20170104220000,-99999,99999
20170104230000,-99999,99999
20170105000000,-99999,99999
20170105010000,-99999,99999
20170105020000,-99999,99999
20170105030000,-99999,99999
20170105040000,-99999,99999
20170105050000,-99999,99999
20170105060000,14000,6
20170105070000,13000,6
20170105080000,13000,6
20170105090000,13000,6
20170105100000,13000,6
20170105110000,10000,6
20170105120000,10000,6
20170105210000,5000,6
20170105220000,9000,6
20170105230000,9000,6
20170106000000,8000,6
20170106010000,8000,6
20170106020000,10000,6
20170106030000,14000,6
20170106040000,-9999,1
20170106050000,10000,6
20170106060000,10000,6
20170106070000,-9999,1
20170106080000,-99999,99999
20170106090000,-9999,1
20170106100000,-9999,1
20170106110000,-99999,99999
20170106120000,-99999,99999
20170106210000,-99999,99999
20170106220000,-99999,99999
20170106230000,-99999,99999
20170107000000,-99999,99999
20170107010000,8000,6
20170107020000,-9999,1
20170107030000,-9999,1
20170107040000,9000,6
20170107050000,10000,6
20170107060000,10000,6
20170107070000,10000,6
20170107080000,12000,6
20170107090000,12000,6
20170107100000,7000,6
20170107110000,10000,6
20170107120000,12000,6
20170107210000,3000,5
20170107220000,3000,5
20170107230000,3000,5
20170108000000,2000,5
20170108010000,1000,4
20170108020000,4000,6
20170108030000,9000,6
20170108040000,-99999,99999
20170108050000,-99999,99999
20170108060000,-99999,99999
20170108070000,-99999,99999
20170108080000,2500,5
20170108090000,-99999,99999
20170108100000,-99999,99999
20170108110000,-99999,99999
20170108120000,-99999,99999
20170108210000,-99999,99999
20170108220000,-99999,99999
20170108230000,-99999,99999
20170109000000,-99999,99999
20170109010000,-99999,99999
20170109020000,-99999,99999
20170109030000,4000,6
20170109040000,-99999,99999
20170109050000,-99999,99999
20170109060000,-99999,99999
20170109070000,-99999,99999
20170109080000,-99999,99999
20170109090000,-99999,99999
20170109100000,-99999,99999
20170109110000,-99999,99999
20170109120000,-99999,99999
20170109210000,3500,5
20170109220000,3500,5
20170109230000,4000,6
20170110000000,4000,6
20170110010000,4500,6
20170110020000,4000,6
20170110030000,4000,6
20170110040000,4500,6
20170110050000,4500,6
20170110060000,4500,6
20170110070000,4500,6
20170110080000,-99999,99999
20170110090000,-99999,99999
20170110100000,-99999,99999
20170110110000,-99999,99999
20170110120000,-99999,99999
20170110210000,-99999,99999
20170110220000,-99999,99999
20170110230000,-99999,99999
20170111000000,-99999,99999
20170111010000,-99999,99999
20170111020000,-99999,99999
20170111030000,-99999,99999
20170111040000,-99999,99999
20170111050000,-9999,1
20170111060000,-9999,1
20170111070000,-9999,1
20170111080000,-9999,1
20170111090000,-9999,1
20170111100000,-9999,1
20170111110000,-9999,1
20170111120000,-9999,1
20170111210000,13000,6
20170111220000,-9999,1
20170111230000,-9999,1
20170112000000,-9999,1
20170112010000,-9999,1
20170112020000,-9999,1
20170112030000,-9999,1
20170112040000,15000,6
20170112050000,10000,6
20170112060000,10000,6
20170112070000,10000,6
20170112080000,10000,6
20170112090000,10000,6
20170112100000,10000,6
20170112110000,10000,6
20170112120000,10000,6
20170112210000,5000,6
20170112220000,5000,6
20170112230000,-99999,99999
20170113000000,-99999,99999
20170113010000,-99999,99999
20170113020000,4500,6
20170113030000,4500,6
20170113040000,-99999,99999
20170113050000,-99999,99999
20170113060000,-99999,99999
20170113070000,-99999,99999
20170113080000,-99999,99999
20170113090000,4500,6
20170113100000,-99999,99999
20170113110000,6000,6
20170113120000,5000,6
20170113210000,-99999,99999
20170113220000,-99999,99999
20170113230000,-99999,99999
20170114000000,-99999,99999
20170114010000,-99999,99999
20170114020000,4000,6
20170114030000,4500,6
20170114040000,4500,6
20170114050000,4500,6
20170114060000,-99999,99999
20170114070000,-99999,99999
20170114080000,-99999,99999
20170114090000,-99999,99999
20170114100000,-99999,99999
20170114110000,-99999,99999
20170114120000,-99999,99999
20170114210000,4000,6
20170114220000,-99999,99999
