date, Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation,Geop1000,u-co1000,v-co1000,Temp1000,Vert1000,Rela1000,Geop975,u-co975,v-co975,Temp975,Vert975,Rela975,Geop950,u-co950,v-co950,Temp950,Vert950,Rela950,Geop925,u-co925,v-co925,Temp925,Vert925,Rela925,Geop900,u-co900,v-co900,Temp900,Vert900,Rela900,Geop850,u-co850,v-co850,Temp850,Vert850,Rela850,Geop800,u-co800,v-co800,Temp800,Vert800,Rela800,Geop700,u-co700,v-co700,Temp700,Vert700,Rela700,Geop600,u-co600,v-co600,Temp600,Vert600,Rela600,Geop500,u-co500,v-co500,Temp500,Vert500,Rela500,Geop400,u-co400,v-co400,Temp400,Vert400,Rela400,Geop300,u-co300,v-co300,Temp300,Vert300,Rela300,Geop250,u-co250,v-co250,Temp250,Vert250,Rela250,Geop200,u-co200,v-co200,Temp200,Vert200,Rela200,Geop150,u-co150,v-co150,Temp150,Vert150,Rela150,Geop100,u-co100,v-co100,Temp100,Vert100,Rela100,telegram_type,station_code,obs_kind,fct_start_day,fct_start_hour,fct_end_day,fct_end_hour,wind_dir,wind_speed_over100kt_flag,wind_speed,wind_gusts_over100kt_flag,wind_gusts,wind_dir_min,wind_dir_max,cavok,visibility,rvr_count,wx_count,cloud_count,temp_sign,temp,dew_point_sign,dew_point,altimeter_hpa,CIG_category
20150317110000,101779.8157,99747.7478,-1.2565,0.8753,291.3685,80.4844,63.9648,49.9512,50.5859,63.9648,0.0,168.1267059482634,1.1642820052802565,-0.8835127279162407,285.7824357980862,0.06245592044433579,52.758400979917496,379.87771462649107,1.8754946396220475,-1.5036340514197946,284.37415726389736,0.12141689722193405,55.64602033351547,596.0989748090506,2.466265335213393,-1.6087386729195714,282.6827577697113,0.09225521032931283,58.930165479891,816.7214078828692,3.074220059905201,-1.5322465780191123,280.9797165589407,0.07289740501437336,61.49864219967276,1042.0500786080956,3.638041710946709,-1.4315504287369551,279.3475300725549,0.06926969371852465,62.93296658154577,1508.2804132848978,5.002163114957511,-1.3467547395266593,276.64471384696657,0.057638248908915564,57.85392767749728,1998.4986133873465,7.359816406853497,-1.5325827284250408,274.7623892999254,-0.02737200570845744,44.70315487775952,3066.3491206765166,13.852598906494675,-2.217466026544571,270.70110639976343,-0.19524031197215666,37.501574826892465,4276.239940345286,20.35468622297049,-2.243716926081106,264.804806098342,-0.2231203185292543,34.38300576480105,5668.216128528116,27.08729743026197,-2.7083591166883707,256.3900537206792,-0.13466581624379614,34.14908581785858,7307.027192071079,35.45700990036129,-2.562131593003869,245.25530499755402,-0.02602564964035992,34.76321279956028,9315.650830000639,47.92139774002136,-1.6814138534246013,232.2813548415434,0.036351579216216116,26.77271867915988,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,,9999.0,0.0,0.0,2.0,1.0,17.0,1.0,12.0,1017.0,6.0
20160416040000,101847.0093,99821.9421,-2.7461,3.9125,294.3282,39.4093,0.0,0.0,38.5254,38.5254,0.0,121.39986258745192,0.046449341483821634,-0.024110135855153203,291.3400060788408,0.010278280074999202,63.956050018779926,337.49486165866256,-0.4838579524366651,-0.2785692806355655,290.0268471904565,-0.023216144429170527,66.02396090887487,558.4698433205484,-0.4290481900097802,-0.2382737654261291,288.4087303805281,-0.13052743484149687,68.42519897036254,784.0554356575012,0.2046646155649796,0.06600224087014794,286.9419579831884,-0.21685021245502867,69.24508459866047,1014.6521756574514,1.2128346583995149,0.2930149631574749,285.5971162507193,-0.2528495410224423,68.53686982765794,1492.4141134284437,3.6660724816028964,0.4590857157018036,283.40407712064916,-0.1998010980896652,62.20589168090373,1995.154639929533,6.237669545924293,0.19573974603554234,281.3905466251308,-0.12935433437814936,55.660475240554646,3088.558215361088,11.820976139162667,0.369799166219309,276.5661384402774,-0.16754619393032044,44.680529858917,4323.8487394079575,17.035093568068987,0.643319976166822,269.99956941392156,-0.09103474867879413,40.21630429197103,5743.655646683647,21.85752803098876,1.5700249874498695,261.5353816506249,-0.06842411585967056,39.65040722140111,7416.902428582311,26.815634392492946,2.5132411355152726,250.37510971577285,-0.023165245540440086,41.68767597526312,9462.863259861246,33.967696333769716,4.248422123491763,235.44663256991768,-0.018331368279177696,41.361804058775306,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,150.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,,9999.0,0.0,0.0,2.0,1.0,20.0,1.0,10.0,1017.0,6.0
20150327090000,102597.8516,100516.0034,0.258,1.3934,287.0085,58.0809,5.9082,56.0059,68.8965,68.8965,0.0,216.5936,0.652,2.6929,286.9572,-0.3853,55.1655,429.4018,1.6313,5.073,285.3305,-0.655,56.3071,646.216,1.6812,5.197,283.2699,-0.4819,61.1075,867.183,1.6109,4.7823,281.2484,-0.3817,65.0006,1092.5386,1.4535,3.6901,279.3236,-0.4061,68.5715,1557.8815,1.461,1.1447,275.5268,-0.1261,66.1554,2044.8926,0.9763,-0.7529,272.8563,0.2712,17.4387,3101.5227,-1.2902,6.2846,267.841,0.0245,62.6275,4305.7012,13.1989,11.331,264.1843,-0.3159,99.8161,5693.9058,18.8905,5.5924,255.275,-0.4055,60.1864,7325.1157,15.3125,12.4889,243.8461,-0.3364,83.557,9305.5186,16.4221,14.6013,227.7574,-0.3611,56.7199,10507.3027,32.6363,13.0655,222.5413,-0.3846,,11937.248,38.0355,9.9434,216.0786,-0.1051,,13744.0654,38.1578,0.7648,213.7277,0.0552,,16259.5625,27.1184,-0.238,209.8308,-0.0657,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,999.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,,9999.0,0.0,1.0,3.0,1.0,13.0,1.0,5.0,1025.0,6.0
20160427000000,100796.2585,98788.6292,-4.293,0.1039,291.6977,81.7443,62.0605,79.1992,49.3164,79.1992,0.0,69.0776,-5.5779999999999985,0.1418,292.1608,0.0753,78.5435,285.6555,-9.4334,0.0565,290.7297,0.1942,83.1304,507.5099,-13.5281,0.5695,289.0561,0.1754,89.3904,734.2849,-13.9987,3.5526,288.2403,-0.0461,92.6825,966.7305,-10.4574,6.9541,287.6683,-0.4381,95.794,1450.0826,-0.4216,7.9679,286.2152,-0.3729,99.329,1959.7343,7.1576,7.152,284.5475,-0.2336,99.3041,3067.9321,8.7285,1.1895,279.197,-0.1007,87.7386,4316.0249,16.2688,1.3585,272.7125,-0.2436,52.7786,5752.9014,14.4344,-0.198,264.3891,-0.2625,38.8646,7445.1978,23.8909,4.84,253.4477,-0.0759,66.9163,9519.7725,32.4211,10.7964,238.2985,0.0959,39.6236,10763.3613,35.6957,10.8239,227.8988,0.2289,,12212.8535,44.5763,8.1835,216.3154,0.2282,,14007.1602,41.84,3.1579,210.7761,0.1073,,16463.3916,33.5221,-3.7699,203.9709,0.0392,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,110.0,-1.0,8.0,-1.0,-1.0,80.0,140.0,,9999.0,0.0,1.0,3.0,1.0,18.0,1.0,17.0,1007.0,6.0
20150427230000,101864.6484,99826.593,-1.3629,0.2692,289.7484,80.3376,16.8457,60.6445,87.0117,87.0117,0.0312,136.64268520660698,-0.3772899522446096,0.36361783694883343,291.55386978783645,-0.02419626283517573,53.02088551223278,352.88108856324106,-1.1164117050357163,0.5747178863093723,290.3032581368461,-0.09907755968743004,54.46918793767691,573.824576118961,-1.7478385409340262,0.9595152412657626,288.55744649108965,-0.1750612663163338,56.86479354277253,799.2351985834537,-1.9217124693095684,1.3394701335928405,286.8281031305087,-0.2190114174154587,57.84969375282526,1029.4257738236338,-1.768322367221117,1.5875915801152587,285.198799277925,-0.22418079432100046,57.433774158358574,1505.6523170024154,-0.6524496525526047,1.4052617494016886,282.4004435202805,-0.18514396040700376,54.01985474675894,2005.7408257927743,1.1210845597088337,0.9307105331681668,279.82120352587657,-0.07955035561462864,48.36850230768323,3090.104960252996,4.7962907906621695,0.6610515373758972,274.03043995727785,0.06249626385397278,35.20446858555078,4311.738370619713,8.801156461238861,1.461685420712456,266.66004708595574,0.07553734924294986,31.442352928221226,5711.60754448548,15.463641881942749,2.439429875463248,257.8939541345462,0.11287139252817725,27.715460676699877,7363.09892128408,25.08365686354228,5.4561697273748,247.60476717492568,-0.06194921780843288,34.27174172643572,9389.156381420793,34.89090076647699,8.495845110155642,233.54139084089547,-0.06631537403154653,37.37781830783933,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,130.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,,9999.0,0.0,2.0,3.0,1.0,16.0,1.0,12.0,1017.0,6.0
20150418080000,101742.1448,99703.5706,-1.7154,0.4834,290.436,68.2809,2.0996,55.4199,82.666,82.666,0.0,133.56061755958945,0.2752292661461979,0.3944757318677148,291.22098249197006,-0.03319885412565782,61.567794982343905,349.6049757050351,0.14533330453559756,0.6169601656874875,289.88723136647604,-0.15082577997236513,64.05567214265466,570.4207955002785,0.28987045120447874,1.0266668016847689,288.2288676489843,-0.2719633417436853,67.25937912240624,795.8044337742032,0.7758170077577233,1.4840125757618807,286.66408452391624,-0.3471195104648359,69.16968835890293,1026.1132664885372,1.4086169926449656,1.822776126267854,285.181738495623,-0.3681683329050429,69.73763313144445,1502.8604868762195,3.0212885113433003,1.858979259384796,282.54441377910547,-0.3256852744962089,67.42041451856494,2003.8307547941806,5.103102009743452,1.5510284292977303,280.20302777725743,-0.22766184009378776,61.44389794021845,3091.520045356825,9.219605756923556,1.339323999127373,274.90806785644963,-0.04604872697382234,45.00246671959758,4318.269311308861,13.474331682547927,2.3322447752580047,267.8911702972837,0.028671458479948345,38.4051174595952,5725.692560788243,18.40187534689904,3.2597115193493664,259.2817923403345,0.07288438377145212,35.264078879728906,7385.761542789637,24.645111275371164,5.248179347137921,248.75419326638803,0.020105211209738627,37.53688996192068,9419.31995857507,31.787000796757642,7.484640365932138,234.14884675806388,-0.021644639142323285,39.54723776690662,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,130.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,,9999.0,0.0,0.0,3.0,1.0,19.0,1.0,12.0,1017.0,6.0
20150320120000,101655.0964,99614.1113,-1.1129,0.528,287.586,88.3641,2.4414,13.4033,0.0,13.4277,0.0,140.0607,-1.7736,0.8655,288.4667,-0.0842,83.4421,354.4189,-2.2727,3.3222,287.4575,-0.5509,85.8651,573.697,-0.4934,2.909,286.2702,-0.5193,83.72200000000002,797.8368,0.5619,1.7866,285.3621,-0.1569,75.3553,1027.2211,1.2951,0.9592,284.2545,0.0286,72.92,1502.8003,2.1667,-1.4280000000000002,282.4033,0.0217,56.4926,2003.0795,5.4418,-4.1639,279.7625,0.1421,42.4016,3089.4126,14.3251,-5.6088,276.0343,-0.3093,69.3562,4329.6958,24.9486,-3.2496,272.0301,-0.6911,13.9813,5760.1416,36.6266,-7.4463,263.4537,-0.5858,7.09,7446.2964,47.1032,-5.0799,251.9933,-0.4167,10.2898,9504.4072,56.8179,-5.6495,236.5954,-0.1217,33.5856,10742.5107,59.8344,-5.5884,227.6483,-0.0224,,12209.5234,62.1316,-6.4247,221.7403,0.0466,,14040.7881,51.2778,0.6488,213.2205,0.1376,,16497.623,34.6537,1.2683,201.6684,0.1289,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,999.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,,9999.0,0.0,0.0,3.0,1.0,16.0,1.0,10.0,1015.0,6.0
20150318020000,101704.1382,99676.178,-0.1492,1.8409,291.3011,88.1209,65.918,64.6484,0.0,66.5039,0.375,169.37113377079368,1.1034351126290858,-0.8137512062676251,286.02492702100426,0.05620185058796778,52.68165035941638,381.3126353025437,1.7824929524213076,-1.3597414805553854,284.61337484512484,0.10585828917101026,55.56063571968116,597.7250095903872,2.3639595541171734,-1.4309742990881205,282.9201908605173,0.07649321376811713,58.78833720600233,818.5412264987826,2.9671346400864422,-1.353864184580743,281.2139555057511,0.05922839313279836,61.29541032295674,1044.063552096486,3.52860626578331,-1.2717073909007013,279.577522078529,0.05852306477027014,62.668624008074396,1510.678855188191,4.8688639984466136,-1.257974611595273,276.85390908643603,0.05425306526012719,57.65400983486325,2001.240083388984,7.167960356920958,-1.504400664824061,274.9202240626328,-0.029890916848671626,44.955849518068135,3069.586619287729,13.534032299183307,-2.2692574525717646,270.80203399667516,-0.19752569907723228,37.67771665100008,4279.86776971817,19.87200505845249,-2.3318763277493417,264.8695491058752,-0.2247813503490761,34.206428055651486,5672.156315565107,26.53853009454906,-2.82280314899981,256.4483465484809,-0.13752498620306142,33.851042155176394,7311.335173189641,34.943144269287586,-2.6226472281850874,245.3025336081628,-0.02371789442258887,34.61860506376252,9319.94452317059,47.28533876501025,-1.643151477095671,232.20420380495486,0.03641882091778825,27.43446054123342,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,999.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,,9999.0,0.0,0.0,3.0,1.0,17.0,1.0,16.0,1016.0,6.0
20150309030000,101680.9631,99605.4016,3.4734,-2.5069,286.2786,60.1688,38.0859,15.3809,0.0,38.0859,0.0,140.292,4.4485,-3.2110000000000003,285.981,0.2038,57.8565,351.6843,6.2113,-4.4611,283.9459,0.4021,64.081,567.388,7.2093,-5.0348,281.7802,0.3234,71.922,787.1446,7.881,-5.3132,279.6238,0.2276,80.8969,1011.2694,8.5222,-5.4607,277.4445,0.1552,90.5095,1474.7686,12.5028,-5.4919,275.6291,0.2116,82.3577,1964.4718,16.1244,-5.3389,274.3527,0.0344,80.9997,3030.4258,18.8453,2.1937,269.905,-0.2651,57.807,4233.0989,28.6426,2.5974,263.4296,0.0286,1.8301,5615.5229,37.3344,3.2476,255.1538,0.1304,1.081,7242.7954,45.5138,1.3442,242.488,0.0035,5.0443,9237.3857,58.7045,2.2880000000000003,233.9888,0.1277,3.5714,10481.4316,72.2612,0.1002,231.7484,0.2697,,11974.8281,74.7888,-1.6256,224.8654,0.3132,,13822.2686,63.129,2.5737,214.115,0.1142,,16299.9082,49.0956,0.2254,206.2561,0.1758,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,330.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,,9999.0,0.0,1.0,3.0,1.0,9.0,1.0,7.0,1009.0,6.0
20150420070000,100235.907,98243.5364,2.7566,-0.0676,292.3687,75.1886,49.9512,96.1914,50.5371,96.1914,0.0,134.23092516791075,0.13331525027751925,0.3877645612810737,291.29338093113614,-0.03124091350764502,59.708958934992545,350.31748549640184,-0.1290789982303977,0.6077730469987728,289.97771150560584,-0.13957124900480267,61.9707427918911,571.1610712856054,-0.1533034173771739,1.0120622546528466,288.3003290584312,-0.2508884641574696,64.99869875982404,796.550578251481,0.1891411980614066,1.4525765692233108,286.69975633017015,-0.3192577503505163,66.70774417743087,1026.8336915811524,0.7176760826259851,1.7716267003561368,285.18544898270187,-0.336853010347113,67.06171189248562,1503.4676717892291,2.22230064868927,1.7603018992813304,282.5131022146088,-0.29511945863487204,64.50597583502531,2004.2461691424246,4.237067613750696,1.416117761284113,280.1199862187496,-0.19544961559586227,58.60017801448703,3091.2122836783533,8.257595179602504,1.1918090048711747,274.717195777921,-0.022441674314904958,42.87153597921133,4316.848920930177,12.45797991193831,2.1429100085515533,267.62341781752184,0.03886414947919548,36.89081129431725,5722.62926216051,17.762849708087742,3.081311467802152,258.97995648998767,0.08158101190929301,33.622357543557875,7380.832732215524,24.740488949697465,5.293414413463324,248.5042087943293,0.0022594938636757433,36.82676482573152,9412.759792611003,32.4620566368103,7.704563583713025,234.0167333944701,-0.03135991372982972,39.07541867159307,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RJFK,0.0,-1.0,-1.0,-1.0,-1.0,260.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,,9999.0,0.0,0.0,2.0,1.0,20.0,1.0,15.0,1002.0,6.0
