date,CIG,CIG_category
20150101000000,2500,5
20150101010000,3000,5
20150101020000,3000,5
20150101030000,2500,5
20150101040000,2000,5
20150101050000,2000,5
20150101060000,2500,5
20150101070000,3000,5
20150101080000,-99999,99999
20150101090000,-99999,99999
20150101100000,-99999,99999
20150101110000,-99999,99999
20150101120000,-99999,99999
20150101210000,4000,6
20150101220000,4000,6
20150101230000,4500,6
20150102000000,4500,6
20150102010000,4500,6
20150102020000,3000,5
20150102030000,2500,5
20150102040000,3500,5
20150102050000,3500,5
20150102060000,4000,6
20150102070000,2000,5
20150102080000,-99999,99999
20150102090000,-99999,99999
20150102100000,-99999,99999
20150102110000,6000,6
20150102120000,-99999,99999
20150102210000,-99999,99999
20150102220000,-9999,1
20150102230000,-9999,1
20150103000000,-9999,1
20150103010000,-9999,1
20150103020000,-99999,99999
20150103030000,-99999,99999
20150103040000,-99999,99999
20150103050000,-99999,99999
20150103060000,-9999,1
20150103070000,-99999,99999
20150103080000,-99999,99999
20150103090000,-99999,99999
20150103100000,-99999,99999
20150103110000,-99999,99999
20150103120000,-99999,99999
20150103210000,-99999,99999
20150103220000,10000,6
20150103230000,10000,6
20150104000000,-99999,99999
20150104010000,-99999,99999
20150104020000,-99999,99999
20150104030000,-99999,99999
20150104040000,8000,6
20150104050000,8000,6
20150104060000,-99999,99999
20150104070000,-99999,99999
20150104080000,-99999,99999
20150104090000,-99999,99999
20150104100000,-99999,99999
20150104110000,-99999,99999
20150104120000,-99999,99999
20150104210000,-99999,99999
20150104220000,-99999,99999
20150104230000,-99999,99999
20150105000000,-99999,99999
20150105010000,-99999,99999
20150105020000,-99999,99999
20150105030000,-99999,99999
20150105040000,-99999,99999
20150105050000,-9999,1
20150105060000,-9999,1
20150105070000,19000,6
20150105080000,-9999,1
20150105090000,-9999,1
20150105100000,-9999,1
20150105110000,-9999,1
20150105120000,-9999,1
20150105210000,2500,5
20150105220000,1000,4
20150105230000,1000,4
20150106000000,5000,6
20150106010000,3000,5
20150106020000,3000,5
20150106030000,3000,5
20150106040000,4000,6
20150106050000,5000,6
20150106060000,-99999,99999
20150106070000,-99999,99999
20150106080000,-99999,99999
20150106090000,-99999,99999
20150106100000,-99999,99999
20150106110000,-99999,99999
20150106120000,-99999,99999
20150106210000,-99999,99999
20150106220000,-99999,99999
20150106230000,-99999,99999
20150107000000,-99999,99999
20150107010000,-99999,99999
20150107020000,-99999,99999
20150107030000,-99999,99999
20150107040000,-99999,99999
20150107050000,-99999,99999
20150107060000,-99999,99999
20150107070000,-99999,99999
20150107080000,-99999,99999
20150107090000,-99999,99999
20150107100000,-99999,99999
20150107110000,-99999,99999
20150107120000,-99999,99999
20150107210000,-99999,99999
20150107220000,-99999,99999
20150107230000,-99999,99999
20150108000000,-99999,99999
20150108010000,-99999,99999
20150108020000,3500,5
20150108030000,-99999,99999
20150108040000,-99999,99999
20150108050000,-99999,99999
20150108060000,-99999,99999
20150108070000,-99999,99999
20150108080000,-99999,99999
20150108090000,-99999,99999
20150108100000,-99999,99999
20150108110000,-99999,99999
20150108120000,-99999,99999
20150108210000,-99999,99999
20150108220000,-99999,99999
20150108230000,-99999,99999
20150109000000,-99999,99999
20150109010000,-99999,99999
20150109020000,-99999,99999
20150109030000,-99999,99999
20150109040000,-99999,99999
20150109050000,-99999,99999
20150109060000,-99999,99999
20150109070000,-99999,99999
20150109080000,-99999,99999
20150109090000,-99999,99999
20150109100000,-99999,99999
20150109110000,-99999,99999
20150109120000,-99999,99999
20150109210000,4500,6
20150109220000,-99999,99999
20150109230000,-99999,99999
20150110000000,-99999,99999
20150110010000,-99999,99999
20150110020000,-99999,99999
20150110030000,-99999,99999
20150110040000,-99999,99999
20150110050000,-99999,99999
20150110060000,-99999,99999
20150110070000,-99999,99999
20150110080000,-99999,99999
20150110090000,-99999,99999
20150110100000,-99999,99999
20150110110000,-99999,99999
20150110120000,-99999,99999
20150110210000,-99999,99999
20150110220000,-99999,99999
20150110230000,-99999,99999
20150111000000,-99999,99999
20150111010000,-99999,99999
20150111020000,-99999,99999
20150111030000,4000,6
20150111040000,4000,6
20150111050000,4500,6
20150111060000,4000,6
20150111070000,4000,6
20150111080000,4000,6
20150111090000,4500,6
20150111100000,4500,6
20150111110000,-99999,99999
20150111120000,-99999,99999
20150111210000,-99999,99999
20150111220000,-99999,99999
20150111230000,-99999,99999
20150112000000,-99999,99999
20150112010000,-99999,99999
20150112020000,-99999,99999
20150112030000,-99999,99999
20150112040000,-99999,99999
20150112050000,-99999,99999
20150112060000,-99999,99999
20150112070000,-99999,99999
20150112080000,-99999,99999
20150112090000,-99999,99999
20150112100000,-99999,99999
20150112110000,-99999,99999
20150112120000,-99999,99999
20150112210000,-99999,99999
20150112220000,-99999,99999
20150112230000,-99999,99999
20150113000000,-99999,99999
20150113010000,-99999,99999
20150113020000,-99999,99999
20150113030000,-99999,99999
20150113040000,-9999,1
20150113050000,-99999,99999
20150113060000,-99999,99999
20150113070000,-99999,99999
20150113080000,15000,6
20150113090000,16000,6
20150113100000,16000,6
20150113110000,17000,6
20150113120000,12000,6
20150113210000,10000,6
20150113220000,5000,6
20150113230000,5000,6
20150114000000,5000,6
20150114010000,6000,6
20150114020000,5000,6
20150114030000,6000,6
20150114040000,6000,6
20150114050000,6000,6
20150114060000,5000,6
20150114070000,4000,6
20150114080000,4500,6
20150114090000,4000,6
20150114100000,8000,6
20150114110000,5000,6
20150114120000,5000,6
20150114210000,-99999,99999
20150114220000,1500,4
20150114230000,1500,4
20150115000000,2000,5
20150115010000,1500,4
20150115020000,2500,5
20150115030000,-99999,99999
20150115040000,3000,5
20150115050000,3000,5
20150115060000,5000,6
20150115070000,2500,5
20150115080000,4000,6
20150115090000,2500,5
20150115100000,-99999,99999
20150115110000,3000,5
20150115120000,-99999,99999
20150115210000,-99999,99999
20150115220000,4000,6
20150115230000,4000,6
20150116000000,-99999,99999
20150116010000,-99999,99999
20150116020000,-99999,99999
20150116030000,4500,6
20150116040000,4000,6
20150116050000,4500,6
20150116060000,4500,6
20150116070000,4000,6
20150116080000,6000,6
20150116090000,6000,6
20150116100000,5000,6
20150116110000,5000,6
20150116120000,4000,6
20150116210000,5000,6
20150116220000,5000,6
20150116230000,6000,6
20150117000000,5000,6
20150117010000,5000,6
20150117020000,3500,5
20150117030000,3500,5
20150117040000,-99999,99999
20150117050000,-99999,99999
20150117060000,-99999,99999
20150117070000,-99999,99999
20150117080000,-99999,99999
20150117090000,-99999,99999
20150117100000,-99999,99999
20150117110000,-99999,99999
20150117120000,-99999,99999
20150117210000,-99999,99999
20150117220000,-99999,99999
20150117230000,-99999,99999
20150118000000,-99999,99999
20150118010000,-99999,99999
20150118020000,-99999,99999
20150118030000,-99999,99999
20150118040000,-99999,99999
20150118050000,-99999,99999
20150118060000,-99999,99999
20150118070000,-99999,99999
20150118080000,17000,6
20150118090000,-99999,99999
20150118100000,-99999,99999
20150118110000,14000,6
20150118120000,5000,6
20150118210000,6000,6
20150118220000,5000,6
20150118230000,-99999,99999
20150119000000,-99999,99999
20150119010000,-99999,99999
20150119020000,-99999,99999
20150119030000,-99999,99999
20150119040000,-99999,99999
20150119050000,-99999,99999
20150119060000,-99999,99999
20150119070000,-99999,99999
20150119080000,-99999,99999
20150119090000,-99999,99999
20150119100000,-99999,99999
20150119110000,-99999,99999
20150119120000,-99999,99999
20150119210000,-99999,99999
20150119220000,-99999,99999
20150119230000,-99999,99999
20150120000000,-99999,99999
20150120010000,-99999,99999
20150120020000,-99999,99999
20150120030000,-99999,99999
20150120040000,-99999,99999
20150120050000,-99999,99999
20150120060000,-99999,99999
20150120070000,-99999,99999
20150120080000,-99999,99999
20150120090000,-99999,99999
20150120100000,-99999,99999
20150120110000,-99999,99999
20150120120000,-99999,99999
20150120210000,12000,6
20150120220000,6000,6
