date,str,ceiling
20140101000000, FEW 30   BKN 35   BKN 50  ,3500
20140101010000, SCT 30   BKN 35  ,3500
20140101020000, FEW 30   BKN 35   BKN 50  ,3500
20140101030000, FEW 25   SCT 35   BKN 50  ,5000
20140101040000, FEW 25   BKN 35   BKN 50  ,3500
20140101050000, FEW 25   SCT 35   BKN 50  ,5000
20140101060000, FEW 25   SCT 35  ,-99999
20140101070000, FEW 30   SCT 50  ,-99999
20140101080000, FEW 40  ,-99999
20140101090000, FEW 40  ,-99999
20140101100000, FEW 40  ,-99999
20140101110000, FEW 40  ,-99999
20140101120000, FEW 40  ,-99999
20140101210000, FEW 30  ,-99999
20140101220000, FEW 40  ,-99999
20140101230000, FEW 40  ,-99999
20140102000000, FEW 40  ,-99999
20140102010000,-99999,-99999
20140102020000, FEW 40  ,-99999
20140102030000, FEW 40  ,-99999
20140102040000, FEW 40  ,-99999
20140102050000, FEW 40  ,-99999
20140102060000, FEW 40  ,-99999
20140102070000, FEW 40  ,-99999
20140102080000,-99999,-99999
20140102090000,-99999,-99999
20140102100000,-99999,-99999
20140102110000,-99999,-99999
20140102120000,-99999,-99999
20140102210000, FEW 40  ,-99999
20140102220000, FEW 40   SCT 100  ,-99999
20140102230000, FEW 40  ,-99999
20140103000000, FEW 40   BKN 120  ,12000
20140103010000, FEW 40   SCT 120   BKN -9999  ,-9999
20140103020000, FEW 35   SCT 70   BKN 120  ,12000
20140103030000, FEW 30   SCT 40   BKN 70  ,7000
20140103040000, FEW 40   BKN 70  ,7000
20140103050000, FEW 30   SCT 40   BKN 50  ,5000
20140103060000, FEW 30   SCT 50   BKN 70  ,7000
20140103070000, FEW 30   SCT 50   BKN 70  ,7000
20140103080000, FEW 30   SCT 70   BKN 100  ,10000
20140103090000, FEW 3   SCT 50   BKN 70  ,7000
20140103100000, FEW 3   SCT 60   BKN 100  ,10000
20140103110000, FEW 3   SCT 70   BKN 100  ,10000
20140103120000, FEW 3   SCT 12   BKN 100  ,10000
20140103210000, FEW 3   SCT 70   BKN 150  ,15000
20140103220000, FEW 2   BKN 150  ,15000
20140103230000,-99999,-99999
20140104000000,-99999,-99999
20140104010000,-99999,-99999
20140104020000, FEW 25  ,-99999
20140104030000, FEW 30  ,-99999
20140104040000, FEW 35  ,-99999
20140104050000, FEW 40   SCT -9999  ,-99999
20140104060000, FEW 40   BKN -9999  ,-9999
20140104070000, FEW 40   BKN -9999  ,-9999
20140104080000, FEW 40   BKN -9999  ,-9999
20140104090000, FEW 40   BKN -9999  ,-9999
20140104100000, FEW 40   SCT -9999  ,-99999
20140104110000, FEW 40  ,-99999
20140104120000, FEW 40  ,-99999
20140104210000, FEW 40  ,-99999
20140104220000, FEW 40  ,-99999
20140104230000, FEW 40  ,-99999
20140105000000, FEW 40  ,-99999
20140105010000, FEW 40  ,-99999
20140105020000, FEW 35  ,-99999
20140105030000, FEW 35   SCT 40  ,-99999
20140105040000, FEW 30   SCT 40   BKN 50  ,5000
20140105050000, FEW 30   SCT 40  ,-99999
20140105060000, FEW 40   SCT 70  ,-99999
20140105070000, FEW 30   SCT 40   BKN 60  ,6000
20140105080000, FEW 20   SCT 35   BKN 60  ,6000
20140105090000, FEW 30   BKN 50  ,5000
20140105100000, FEW 30  ,-99999
20140105110000, FEW 30   SCT 60  ,-99999
20140105120000, FEW 30  ,-99999
20140105210000, FEW 40  ,-99999
20140105220000, FEW 20  ,-99999
20140105230000, FEW 20  ,-99999
20140106000000, FEW 25  ,-99999
20140106010000,-99999,-99999
20140106020000, FEW 40   SCT -9999  ,-99999
20140106030000, FEW 40   BKN -9999  ,-9999
20140106040000, FEW 40   BKN -9999  ,-9999
20140106050000, FEW 40   BKN -9999  ,-9999
20140106060000, FEW 40   BKN -9999  ,-9999
20140106070000, FEW 40   BKN -9999  ,-9999
20140106080000, FEW 40   BKN -9999  ,-9999
20140106090000,-99999,-99999
20140106100000,-99999,-99999
20140106110000,-99999,-99999
20140106120000,-99999,-99999
20140106210000, FEW 40   BKN 50  ,5000
20140106220000, FEW 40   BKN 50  ,5000
20140106230000, SCT 45  ,-99999
20140107000000, SCT 45  ,-99999
20140107010000, FEW 40   BKN 50  ,5000
20140107020000, FEW 40   SCT 50  ,-99999
20140107030000, FEW 40  ,-99999
20140107040000, FEW 40  ,-99999
20140107050000, FEW 40  ,-99999
20140107060000, FEW 40   BKN 80  ,8000
20140107070000, FEW 40   BKN 50  ,5000
20140107080000, FEW 40   SCT 50   BKN 70  ,7000
20140107090000, FEW 40   SCT 50   BKN 70  ,7000
20140107100000, FEW 30   SCT 40   BKN 60  ,6000
20140107110000, FEW 30   SCT 40   BKN 50  ,5000
20140107120000, FEW 25   BKN 35   BKN 50  ,3500
20140107210000, FEW 50   BKN 80   BKN 100  ,8000
20140107220000, FEW 25   BKN 80   BKN 100  ,8000
20140107230000, FEW 25   BKN 70   BKN 90  ,7000
20140108000000, FEW 25   SCT 40   BKN 60  ,6000
20140108010000, FEW 25   SCT 40   BKN 80  ,8000
20140108020000, FEW 20   SCT 50   BKN 70  ,7000
20140108030000, FEW 20   SCT 30   BKN 50  ,5000
20140108040000, FEW 15   SCT 30   BKN 70  ,7000
20140108050000, FEW 15   SCT 30   BKN 70  ,7000
20140108060000, FEW 8   SCT 15   BKN 25  ,2500
20140108070000, FEW 1   SCT 5   BKN 8  ,800
20140108080000, FEW 1   SCT 3   BKN 35  ,3500
20140108090000, FEW 1   SCT 7   BKN 10  ,1000
20140108100000, FEW 2   SCT 15   BKN 100  ,10000
20140108110000, FEW 2   SCT 10   BKN 20  ,2000
20140108120000, FEW 3   SCT 6   BKN 8  ,800
20140108210000, FEW 30  ,-99999
20140108220000, FEW 30  ,-99999
20140108230000, FEW 30  ,-99999
20140109000000, FEW 30   BKN 40  ,4000
20140109010000, FEW 30   BKN 40  ,4000
20140109020000, FEW 30   BKN 45  ,4500
20140109030000, FEW 35   BKN 40  ,4000
20140109040000, FEW 35   SCT 40  ,-99999
20140109050000, FEW 35   SCT 40  ,-99999
20140109060000, FEW 35   SCT 40  ,-99999
20140109070000, FEW 35   SCT 45  ,-99999
20140109080000, FEW 35   SCT 45  ,-99999
20140109090000, FEW 35   SCT 40  ,-99999
20140109100000, FEW 35  ,-99999
20140109110000, FEW 35  ,-99999
20140109120000, FEW 35  ,-99999
20140109210000, FEW 40   SCT 45  ,-99999
20140109220000, FEW 35   SCT 45  ,-99999
20140109230000, FEW 35  ,-99999
20140110000000, FEW 35  ,-99999
20140110010000, FEW 25   SCT 30  ,-99999
20140110020000, FEW 30  ,-99999
20140110030000, FEW 30  ,-99999
20140110040000, FEW 30  ,-99999
20140110050000, FEW 30  ,-99999
20140110060000, FEW 30  ,-99999
20140110070000, FEW 30  ,-99999
20140110080000, FEW 30  ,-99999
20140110090000, FEW 25  ,-99999
20140110100000, FEW 25  ,-99999
20140110110000, FEW 30  ,-99999
20140110120000, FEW 30  ,-99999
20140110210000, FEW 30   BKN 50  ,5000
20140110220000, FEW 30   SCT 45   BKN 60  ,6000
20140110230000, FEW 35   BKN 50  ,5000
20140111000000, FEW 35   SCT 60  ,-99999
20140111010000, FEW 35   BKN -9999  ,-9999
20140111020000, FEW 35  ,-99999
20140111030000, FEW 35   SCT -9999  ,-99999
20140111040000, FEW 30   SCT 40  ,-99999
20140111050000, FEW 30   SCT 40  ,-99999
20140111060000, FEW 30   SCT 40   BKN 50  ,5000
20140111070000, FEW 30   SCT 40   BKN 120  ,12000
20140111080000, FEW 40   BKN 50   BKN 120  ,5000
20140111090000, FEW 40   BKN 50  ,5000
20140111100000, SCT 40   BKN 50  ,5000
20140111110000, FEW 40   SCT 50   BKN 80  ,8000
20140111120000, FEW 35   BKN 40  ,4000
20140111210000, FEW 30   SCT 40   BKN 50  ,5000
20140111220000, FEW 35   SCT 50   BKN 120  ,12000
20140111230000, FEW 40   SCT 100  ,-99999
20140112000000, FEW 35   BKN 40  ,4000
20140112010000, FEW 35   BKN 40  ,4000
20140112020000, FEW 35   SCT -9999  ,-99999
20140112030000, FEW 35   SCT 120   BKN -9999  ,-9999
20140112040000, FEW 35   BKN 100  ,10000
20140112050000, FEW 35   BKN 70  ,7000
20140112060000, FEW 35   BKN 100  ,10000
20140112070000, FEW 35   BKN 80  ,8000
20140112080000, FEW 35   SCT 60   BKN 80  ,8000
20140112090000, FEW 30   SCT 60   BKN 80  ,8000
