date,str,ceiling
20150101000000, FEW 10   SCT 15   BKN 25  ,2500
20150101010000, FEW 10   SCT 15   BKN 30  ,3000
20150101020000, FEW 10   SCT 20   BKN 30  ,3000
20150101030000, FEW 10   SCT 15   BKN 25  ,2500
20150101040000, FEW 6   SCT 10   BKN 20  ,2000
20150101050000, FEW 6   SCT 10   BKN 20  ,2000
20150101060000, FEW 10   SCT 15   BKN 25  ,2500
20150101070000, FEW 3   SCT 10   BKN 30  ,3000
20150101080000, FEW 6   SCT 25  ,-99999
20150101090000, FEW 10  ,-99999
20150101100000, FEW 15  ,-99999
20150101110000, FEW 20  ,-99999
20150101120000, FEW 20  ,-99999
20150101210000, FEW 20   BKN 40   BKN 50  ,4000
20150101220000, FEW 20   BKN 40   BKN 50  ,4000
20150101230000, FEW 20   BKN 45  ,4500
20150102000000, FEW 25   BKN 45  ,4500
20150102010000, FEW 25   BKN 45  ,4500
20150102020000, FEW 15   BKN 30  ,3000
20150102030000, FEW 15   BKN 25   BKN 40  ,2500
20150102040000, FEW 15   SCT 20   BKN 35  ,3500
20150102050000, FEW 15   SCT 20   BKN 35  ,3500
20150102060000, FEW 10   SCT 20   BKN 40  ,4000
20150102070000, FEW 9   SCT 15   BKN 20  ,2000
20150102080000, FEW 20  ,-99999
20150102090000, FEW 20   SCT 40  ,-99999
20150102100000, FEW 20   SCT 50  ,-99999
20150102110000, FEW 20   BKN 60  ,6000
20150102120000, FEW 20  ,-99999
20150102210000, FEW 20  ,-99999
20150102220000, FEW 20   BKN -9999  ,-9999
20150102230000, FEW 30   BKN -9999  ,-9999
20150103000000, FEW 30   SCT 170   BKN -9999  ,-9999
20150103010000, FEW 40   BKN 160   BKN -9999  ,-9999
20150103020000,-99999,-99999
20150103030000,-99999,-99999
20150103040000,-99999,-99999
20150103050000,-99999,-99999
20150103060000, FEW 40   BKN -9999  ,-9999
20150103070000,-99999,-99999
20150103080000,-99999,-99999
20150103090000,-99999,-99999
20150103100000, FEW 30  ,-99999
20150103110000,-99999,-99999
20150103120000,-99999,-99999
20150103210000, FEW 25   SCT 45  ,-99999
20150103220000, FEW 30   SCT 45   BKN 100  ,10000
