Months,precision(before),precision(after),recall(before),recall(after)
0102, 0.54, 0.43, 0.52, 0.53
0304, 0.42, 0.29, 0.39, 0.41
0506, 0.28, 0.25, 0.31, 0.37
0708, 0.25, 0.17, 0.18, 0.19
0910, 0.42, 0.21, 0.30, 0.31
1112, 0.54, 0.34, 0.47, 0.48
