Months,precision(0.5),precision(0.7),precision(0.9),recall(0.5),recall(0.7),recall(0.9),F1(0.5),F1(0.7),F1(0.9)
0102, 0.78, 0.85, 0.92, 0.73, 0.82, 0.90
0304, 0.72, 0.81, 0.93, 0.70, 0.82, 0.93
0506, 0.70, 0.81, 0.90, 0.70, 0.82, 0.91
0708, 0.55, 0.63, 0.73, 0.57, 0.66, 0.74
0910, 0.70, 0.79, 0.85, 0.71, 0.80, 0.87
1112, 0.67, 0.75, 0.86, 0.66, 0.77, 0.88
