file_name,telegram_type,station_code,data_id,announced,created,obs_kind,date,fct_start_day,fct_start_hour,fct_end_day,fct_end_hour,wind_dir,wind_speed_over100kt_flag,wind_speed,wind_gusts_over100kt_flag,wind_gusts,wind_dir_min,wind_dir_max,cavok,visibility,rvr_count,wx_count,cloud_count,str_cloud,temp_sign,temp,dew_point_sign,dew_point,altimeter_hpa,bulletin,wx
20180110_010000.002,0,RJFK,,,,0,20180110010000,-1,-1,-1,-1,270,-1,8,-1,-1,240,310,,9999,0,1,2,FEW 5   SCT 15,1,6,1,4,1015,RJFK 100100Z 27008KT 240V310 9999 VCSH FEW005 SCT015 06/04     Q1015 RMK 1ST005 3CU015 A3000=,VC SH
20180110_020000.002,0,RJFK,,,,0,20180110020000,-1,-1,-1,-1,270,-1,11,-1,-1,-1,-1,,9999,0,1,2,FEW 5   SCT 15,1,5,1,3,1015,RJFK 100200Z 27011KT 9999 VCSH FEW005 SCT015 05/03 Q1015 RMK     1ST005 3CU015 A2998=,VC SH
20180110_030000.002,0,RJFK,,,,0,20180110030000,-1,-1,-1,-1,260,-1,11,-1,-1,230,290,,9999,0,1,2,FEW 5   SCT 20,1,7,1,3,1014,RJFK 100300Z 26011KT 230V290 9999 VCSH FEW005 SCT020 07/03     Q1014 RMK 1ST005 3CU020 A2995=,VC SH
20180110_040000.003,0,RJFK,,,,0,20180110040000,-1,-1,-1,-1,290,-1,15,-1,-1,-1,-1,,9999,0,1,3,FEW 5   SCT 15   BKN 30,1,6,1,4,1013,RJFK 100400Z 29015KT 9999 -SHRA FEW005 SCT015 BKN030 06/04     Q1013 RMK 1ST005 4CU015 6CU030 A2994 TS HIT OBS AT 0342Z           20NM SE OF RJFK 5000FT IN DES E170=,- RA SH
20180110_050000.002,0,RJFK,,,,0,20180110050000,-1,-1,-1,-1,300,-1,13,-1,-1,-1,-1,,9999,0,1,3,FEW 2   SCT 10   BKN 20,1,4,1,3,1014,RJFK 100500Z 30013KT 9999 -SHRA FEW002 SCT010 BKN020 04/03     Q1014 RMK 1ST002 3CU010 5CU020 A2995=,- RA SH
20180110_060000.002,0,RJFK,,,,0,20180110060000,-1,-1,-1,-1,300,-1,11,-1,-1,-1,-1,,6000,0,1,3,FEW 5   SCT 15   BKN 30,1,4,1,2,1014,RJFK 100600Z 30011KT 6000 -SHRA FEW005 SCT015 BKN030 04/02     Q1014 RMK 1ST005 3CU015 5CU030 A2996=,- RA SH
20180110_070000.002,0,RJFK,,,,0,20180110070000,-1,-1,-1,-1,300,-1,15,-1,-1,-1,-1,,4000,1,2,3,FEW 5   SCT 10   BKN 15,1,3,1,2,1015,RJFK 100700Z 30015KT 4000 R34/2000N SHRASN BR FEW005 SCT010     BKN015 03/02 Q1015 RMK 1ST005 3CU010 5CU015 A2998=,RA SN SH; BR
20180110_080000.002,0,RJFK,,,,0,20180110080000,-1,-1,-1,-1,310,-1,11,-1,-1,-1,-1,,9999,0,1,3,FEW 5   SCT 15   BKN 25,1,3,1,1,1015,RJFK 100800Z 31011KT 9999 -SHRA FEW005 SCT015 BKN025 03/01     Q1015 RMK 1ST005 4CU015 6CU025 A2999=,- RA SH
20180110_090000.002,0,RJFK,,,,0,20180110090000,-1,-1,-1,-1,320,-1,14,-1,-1,-1,-1,,9999,0,1,3,FEW 5   SCT 15   BKN 20,1,3,1,1,1016,RJFK 100900Z 32014KT 9999 -SHRASN FEW005 SCT015 BKN020 03/01     Q1016 RMK 1ST005 4CU015 6CU020 A3000=,- RA SN SH
20180110_100000.002,0,RJFK,,,,0,20180110100000,-1,-1,-1,-1,300,-1,12,-1,-1,-1,-1,,9999,0,1,3,FEW 5   SCT 15   BKN 20,1,2,1,0,1017,RJFK 101000Z 30012KT 9999 -SHRASN FEW005 SCT015 BKN020 02/00     Q1017 RMK 1ST005 3CU015 5CU020 A3003=,- RA SN SH
